TimeGenerated,DeviceName,ActionType,Query,RawData
"Aug 17, 2026 11:23:08 PM",corp-na01-bp123na,Query," SELECT DISTINCT TABLESPACE_NAME, FILE_NAME, LOGFILE_GROUP_NAME, EXTENT_SIZE, INITIAL_SIZE, ENGINE FROM INFORMATION_SCHEMA.FILES WHERE FILE_TYPE = 'DATAFILE' AND TABLESPACE_NAME IN (SELECT DISTINCT TABLESPACE_NAME FROM INFORMATION_SCHEMA.PARTITIONS WHERE TABLE_SCHEMA='recover_your_data' AND TABLE_NAME IN ('recover_your_data')) ORDER BY TABLESPACE_NAME, LOGFILE_GROUP_NAME","2026-08-18T05:23:08.122209Z   155 Query SELECT DISTINCT TABLESPACE_NAME, FILE_NAME, LOGFILE_GROUP_NAME, EXTENT_SIZE, INITIAL_SIZE, ENGINE FROM INFORMATION_SCHEMA.FILES WHERE FILE_TYPE = 'DATAFILE' AND TABLESPACE_NAME IN (SELECT DISTINCT TABLESPACE_NAME FROM INFORMATION_SCHEMA.PARTITIONS WHERE TABLE_SCHEMA='recover_your_data' AND TABLE_NAME IN ('recover_your_data')) ORDER BY TABLESPACE_NAME, LOGFILE_GROUP_NAME"
"Aug 17, 2026 11:23:08 PM",corp-na01-bp123na,Query, SELECT table_name FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'recover_your_data',2026-08-18T05:23:08.526486Z   155 Query SELECT table_name FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'recover_your_data'
"Aug 17, 2026 11:23:08 PM",corp-na01-bp123na,Query, SET SQL_QUOTE_SHOW_CREATE=1,2026-08-18T05:23:08.803088Z   155 Query SET SQL_QUOTE_SHOW_CREATE=1
"Aug 17, 2026 11:23:08 PM",corp-na01-bp123na,Query," SELECT LOGFILE_GROUP_NAME, FILE_NAME, TOTAL_EXTENTS, INITIAL_SIZE, ENGINE, EXTRA FROM INFORMATION_SCHEMA.FILES WHERE FILE_TYPE = 'UNDO LOG' AND FILE_NAME IS NOT NULL AND LOGFILE_GROUP_NAME IS NOT NULL AND LOGFILE_GROUP_NAME IN (SELECT DISTINCT LOGFILE_GROUP_NAME FROM INFORMATION_SCHEMA.FILES WHERE FILE_TYPE = 'DATAFILE' AND TABLESPACE_NAME IN (SELECT DISTINCT TABLESPACE_NAME FROM INFORMATION_SCHEMA.PARTITIONS WHERE TABLE_SCHEMA='recover_your_data' AND TABLE_NAME IN ('recover_your_data'))) GROUP BY LOGFILE_GROUP_NAME, FILE_NAME, ENGINE, TOTAL_EXTENTS, INITIAL_SIZE ORDER BY LOGFILE_GROUP_NAME","2026-08-18T05:23:08.022253Z   155 Query SELECT LOGFILE_GROUP_NAME, FILE_NAME, TOTAL_EXTENTS, INITIAL_SIZE, ENGINE, EXTRA FROM INFORMATION_SCHEMA.FILES WHERE FILE_TYPE = 'UNDO LOG' AND FILE_NAME IS NOT NULL AND LOGFILE_GROUP_NAME IS NOT NULL AND LOGFILE_GROUP_NAME IN (SELECT DISTINCT LOGFILE_GROUP_NAME FROM INFORMATION_SCHEMA.FILES WHERE FILE_TYPE = 'DATAFILE' AND TABLESPACE_NAME IN (SELECT DISTINCT TABLESPACE_NAME FROM INFORMATION_SCHEMA.PARTITIONS WHERE TABLE_SCHEMA='recover_your_data' AND TABLE_NAME IN ('recover_your_data'))) GROUP BY LOGFILE_GROUP_NAME, FILE_NAME, ENGINE, TOTAL_EXTENTS, INITIAL_SIZE ORDER BY LOGFILE_GROUP_NAME"
"Aug 17, 2026 11:23:08 PM",corp-na01-bp123na,Query," select column_name, extra, generation_expression, data_type from information_schema.columns where table_schema=database() and table_name='recover_your_data' order by ordinal_position","2026-08-18T05:23:08.894038Z   155 Query select column_name, extra, generation_expression, data_type from information_schema.columns where table_schema=database() and table_name='recover_your_data' order by ordinal_position"
"Aug 17, 2026 11:23:07 PM",corp-na01-bp123na,Query, SHOW tables,2026-08-18T05:23:06.987154Z   154 Query SHOW tables
"Aug 17, 2026 11:23:07 PM",corp-na01-bp123na,Query, set optimizer_switch='semijoin=off',2026-08-18T05:23:07.908200Z   155 Query set optimizer_switch='semijoin=off'
"Aug 17, 2026 11:23:07 PM",corp-na01-bp123na,Query, /*!40100 SET @@SQL_MODE='' */,2026-08-18T05:23:07.626114Z   155 Query /*!40100 SET @@SQL_MODE='' */
"Aug 17, 2026 11:23:07 PM",corp-na01-bp123na,Query, /*M!100100 SET WAIT_TIMEOUT=DEFAULT */,2026-08-18T05:23:07.816876Z   155 Query /*M!100100 SET WAIT_TIMEOUT=DEFAULT */
"Aug 17, 2026 11:23:07 PM",corp-na01-bp123na,Query, /*M!100100 SET @@MAX_STATEMENT_TIME=0.000000 */,2026-08-18T05:23:07.725544Z   155 Query /*M!100100 SET @@MAX_STATEMENT_TIME=0.000000 */
"Aug 17, 2026 11:23:06 PM",corp-na01-bp123na,Query, SET AUTOCOMMIT=0,2026-08-18T05:23:05.984351Z   152 Query SET AUTOCOMMIT=0
"Aug 17, 2026 11:23:06 PM",corp-na01-bp123na,Query, USE `recover_your_data`,2026-08-18T05:23:06.897263Z   154 Query USE `recover_your_data`
"Aug 17, 2026 11:23:06 PM",corp-na01-bp123na,Query, SET AUTOCOMMIT=0,2026-08-18T05:23:06.352233Z   153 Query SET AUTOCOMMIT=0
"Aug 17, 2026 11:23:06 PM",corp-na01-bp123na,Query, SELECT SUM(data_length + index_length) FROM information_schema.tables WHERE table_schema = 'recover_your_data',2026-08-18T05:23:06.805381Z   154 Query SELECT SUM(data_length + index_length) FROM information_schema.tables WHERE table_schema = 'recover_your_data'
"Aug 17, 2026 11:23:06 PM",corp-na01-bp123na,Query, SET AUTOCOMMIT=0,2026-08-18T05:23:06.713631Z   154 Query SET AUTOCOMMIT=0
"Aug 17, 2026 11:23:05 PM",corp-na01-bp123na,Query, SET AUTOCOMMIT=0,2026-08-18T05:23:05.620380Z   151 Query SET AUTOCOMMIT=0
"Aug 17, 2026 11:23:05 PM",corp-na01-bp123na,Query, SHOW DATABASES,2026-08-18T05:23:05.255957Z   150 Query SHOW DATABASES
"Aug 17, 2026 11:23:05 PM",corp-na01-bp123na,Query, SET AUTOCOMMIT=0,2026-08-18T05:23:05.163562Z   150 Query SET AUTOCOMMIT=0
"Aug 17, 2026 11:23:04 PM",corp-na01-bp123na,Query, SET AUTOCOMMIT=0,2026-08-18T05:23:04.798399Z   149 Query SET AUTOCOMMIT=0
"Aug 17, 2026 11:22:59 PM",corp-na01-bp123na,Query, SET AUTOCOMMIT=0,2026-08-18T05:22:59.365618Z   147 Query SET AUTOCOMMIT=0
"Aug 17, 2026 11:06:20 PM",corp-na01-bp123na,Query, SELECT @@max_allowed_packet,2026-08-18T05:06:20.616934Z   145 Query SELECT @@max_allowed_packet
"Aug 17, 2026 9:48:06 PM",corp-na01-bp123na,Query, SELECT @@max_allowed_packet,2026-08-18T03:48:06.417966Z   136 Query SELECT @@max_allowed_packet
"Aug 17, 2026 9:33:22 PM",corp-na01-bp123na,Query, SELECT @@max_allowed_packet,2026-08-18T03:33:21.934358Z   131 Query SELECT @@max_allowed_packet
"Aug 17, 2026 8:30:06 PM",corp-na01-bp123na,Query, SELECT @@max_allowed_packet,2026-08-18T02:30:06.109418Z   125 Query SELECT @@max_allowed_packet
"Aug 17, 2026 8:20:20 PM",corp-na01-bp123na,Query, SELECT @@max_allowed_packet,2026-08-18T02:20:20.098302Z   120 Query SELECT @@max_allowed_packet
"Aug 17, 2026 7:12:07 PM",corp-na01-bp123na,Query, SELECT @@max_allowed_packet,2026-08-18T01:12:07.704672Z   111 Query SELECT @@max_allowed_packet
"Aug 17, 2026 6:58:45 PM",corp-na01-bp123na,Query, set global max_allowed_packet = 20971520,2026-08-18T00:58:45.609333Z   105 Query set global max_allowed_packet = 20971520
"Aug 17, 2026 6:58:45 PM",corp-na01-bp123na,Query, SET AUTOCOMMIT = 0,2026-08-18T00:58:45.075577Z   105 Query SET AUTOCOMMIT = 0
"Aug 17, 2026 6:58:45 PM",corp-na01-bp123na,Query, use mysql,2026-08-18T00:58:45.342443Z   105 Query use mysql
"Aug 17, 2026 6:58:45 PM",corp-na01-bp123na,Query, set global slave_max_allowed_packet = 20971520,2026-08-18T00:58:45.876205Z   105 Query set global slave_max_allowed_packet = 20971520
"Aug 17, 2026 6:58:43 PM",corp-na01-bp123na,Query, set global net_buffer_length = 1024,2026-08-18T00:58:42.993527Z   104 Query set global net_buffer_length = 1024
"Aug 17, 2026 6:58:42 PM",corp-na01-bp123na,Query, use mysql,2026-08-18T00:58:42.723799Z   104 Query use mysql
"Aug 17, 2026 6:58:42 PM",corp-na01-bp123na,Query, SET AUTOCOMMIT = 0,2026-08-18T00:58:42.454795Z   104 Query SET AUTOCOMMIT = 0
"Aug 17, 2026 5:52:58 PM",corp-na01-bp123na,Query, SELECT @@max_allowed_packet,2026-08-17T23:52:58.732373Z    88 Query SELECT @@max_allowed_packet
"Aug 17, 2026 4:50:19 PM",corp-na01-bp123na,Query, USE `recover_your_data`,2026-08-17T22:50:19.443735Z    75 Query USE `recover_your_data`
"Aug 17, 2026 4:50:19 PM",corp-na01-bp123na,Query, SET AUTOCOMMIT=0,2026-08-17T22:50:19.262658Z    75 Query SET AUTOCOMMIT=0
"Aug 17, 2026 4:50:19 PM",corp-na01-bp123na,Query, SHOW TABLES,2026-08-17T22:50:19.534321Z    75 Query SHOW TABLES
"Aug 17, 2026 4:50:19 PM",corp-na01-bp123na,Query, SELECT * FROM `recover_your_data`,2026-08-17T22:50:19.625125Z    75 Query SELECT * FROM `recover_your_data`
"Aug 17, 2026 4:50:19 PM",corp-na01-bp123na,Query, SHOW DATABASES,2026-08-17T22:50:19.352654Z    75 Query SHOW DATABASES
"Aug 17, 2026 4:32:39 PM",corp-na01-bp123na,Query, SELECT @@max_allowed_packet,2026-08-17T22:32:38.839570Z    72 Query SELECT @@max_allowed_packet
"Aug 17, 2026 3:12:42 PM",corp-na01-bp123na,Query, SELECT @@max_allowed_packet,2026-08-17T21:12:42.867916Z    63 Query SELECT @@max_allowed_packet
"Aug 17, 2026 2:17:21 PM",corp-na01-bp123na,Query, SELECT @@max_allowed_packet,2026-08-17T20:17:21.710380Z    54 Query SELECT @@max_allowed_packet
"Aug 17, 2026 1:52:30 PM",corp-na01-bp123na,Query, SELECT @@max_allowed_packet,2026-08-17T19:52:30.464477Z    34 Query SELECT @@max_allowed_packet
"Aug 17, 2026 1:05:24 PM",corp-na01-bp123na,Query, SELECT @@max_allowed_packet,2026-08-17T19:05:24.828290Z    24 Query SELECT @@max_allowed_packet
"Aug 17, 2026 12:51:17 PM",corp-na01-bp123na,Query, USE `recover_your_data`,2026-08-17T18:51:16.890547Z    19 Query USE `recover_your_data`
"Aug 17, 2026 12:51:17 PM",corp-na01-bp123na,Query, SELECT * FROM `recover_your_data`,2026-08-17T18:51:17.091688Z    19 Query SELECT * FROM `recover_your_data`
"Aug 17, 2026 12:51:17 PM",corp-na01-bp123na,Query, SHOW TABLES,2026-08-17T18:51:16.980177Z    19 Query SHOW TABLES
"Aug 17, 2026 12:51:16 PM",corp-na01-bp123na,Query, SHOW DATABASES,2026-08-17T18:51:16.775822Z    19 Query SHOW DATABASES
"Aug 17, 2026 12:51:16 PM",corp-na01-bp123na,Query, SET AUTOCOMMIT=0,2026-08-17T18:51:16.685735Z    19 Query SET AUTOCOMMIT=0
"Aug 17, 2026 12:32:31 PM",corp-na01-bp123na,Query, SELECT @@max_allowed_packet,2026-08-17T18:32:31.715570Z    18 Query SELECT @@max_allowed_packet
"Aug 17, 2026 11:12:33 AM",corp-na01-bp123na,Query, SELECT @@max_allowed_packet,2026-08-17T17:12:33.202602Z    13 Query SELECT @@max_allowed_packet
"Aug 17, 2026 1:51:29 AM",corp-na01-bp123na,Query, SELECT @@max_allowed_packet,2026-08-17T07:51:29.067293Z   199 Query SELECT @@max_allowed_packet
"Aug 17, 2026 12:42:53 AM",corp-na01-bp123na,Query, SET AUTOCOMMIT=0,2026-08-17T06:42:53.276823Z   194 Query SET AUTOCOMMIT=0
"Aug 17, 2026 12:42:53 AM",corp-na01-bp123na,Query, SHOW DATABASES,2026-08-17T06:42:52.912541Z   193 Query SHOW DATABASES
"Aug 17, 2026 12:42:53 AM",corp-na01-bp123na,Query, CREATE DATABASE IF NOT EXISTS RECOVER_YOUR_DATA,2026-08-17T06:42:53.366051Z   194 Query CREATE DATABASE IF NOT EXISTS RECOVER_YOUR_DATA
"Aug 17, 2026 12:42:52 AM",corp-na01-bp123na,Query, SET AUTOCOMMIT=0,2026-08-17T06:42:52.814915Z   193 Query SET AUTOCOMMIT=0
"Aug 17, 2026 12:42:52 AM",corp-na01-bp123na,Query, SET AUTOCOMMIT=0,2026-08-17T06:42:52.432459Z   192 Query SET AUTOCOMMIT=0
"Aug 17, 2026 12:42:20 AM",corp-na01-bp123na,Query, SET AUTOCOMMIT=0,2026-08-17T06:42:20.291489Z   190 Query SET AUTOCOMMIT=0
"Aug 17, 2026 12:31:29 AM",corp-na01-bp123na,Query, SELECT @@max_allowed_packet,2026-08-17T06:31:29.294299Z   187 Query SELECT @@max_allowed_packet
"Aug 17, 2026 12:09:55 AM",corp-na01-bp123na,Query, CREATE DATABASE IF NOT EXISTS RECOVER_YOUR_DATA,2026-08-17T06:09:55.105721Z   182 Query CREATE DATABASE IF NOT EXISTS RECOVER_YOUR_DATA
"Aug 17, 2026 12:09:55 AM",corp-na01-bp123na,Query, SET AUTOCOMMIT=0,2026-08-17T06:09:55.013224Z   182 Query SET AUTOCOMMIT=0
"Aug 17, 2026 12:09:54 AM",corp-na01-bp123na,Query, SHOW DATABASES,2026-08-17T06:09:54.629363Z   181 Query SHOW DATABASES
"Aug 17, 2026 12:09:54 AM",corp-na01-bp123na,Query, SET AUTOCOMMIT=0,2026-08-17T06:09:54.158529Z   180 Query SET AUTOCOMMIT=0
"Aug 17, 2026 12:09:54 AM",corp-na01-bp123na,Query, SET AUTOCOMMIT=0,2026-08-17T06:09:54.536346Z   181 Query SET AUTOCOMMIT=0
"Aug 17, 2026 12:09:44 AM",corp-na01-bp123na,Query, SET AUTOCOMMIT=0,2026-08-17T06:09:43.947061Z   178 Query SET AUTOCOMMIT=0
"Aug 16, 2026 11:46:16 PM",corp-na01-bp123na,Query, SELECT @@max_allowed_packet,2026-08-17T05:46:16.551695Z   175 Query SELECT @@max_allowed_packet
"Aug 16, 2026 11:42:48 PM",corp-na01-bp123na,Query, DROP DATABASE `recover_your_data`,2026-08-17T05:42:47.853741Z   169 Query DROP DATABASE `recover_your_data`
"Aug 16, 2026 11:42:48 PM",corp-na01-bp123na,Query, CREATE DATABASE IF NOT EXISTS RECOVER_YOUR_DATA,2026-08-17T05:42:48.309775Z   170 Query CREATE DATABASE IF NOT EXISTS RECOVER_YOUR_DATA
"Aug 16, 2026 11:42:48 PM",corp-na01-bp123na,Query, SET AUTOCOMMIT=0,2026-08-17T05:42:48.219339Z   170 Query SET AUTOCOMMIT=0
"Aug 16, 2026 11:42:47 PM",corp-na01-bp123na,Query, SET AUTOCOMMIT=0,2026-08-17T05:42:47.763200Z   169 Query SET AUTOCOMMIT=0
"Aug 16, 2026 11:42:47 PM",corp-na01-bp123na,Query, DROP TABLE `recover_your_data`,2026-08-17T05:42:46.824383Z   165 Query DROP TABLE `recover_your_data`
"Aug 16, 2026 11:42:47 PM",corp-na01-bp123na,Query," INSERT INTO RECOVER_YOUR_DATA (text) VALUES ('All your data was backed up by us. You must pay 0.0134 bitcoin to bc1q7jps5432akuflg9flw2vu6hgmmj5hrrdu6c5gm or in 48 hours, your data will be publicly disclosed and deleted. ')","2026-08-17T05:42:47.038821Z   165 Query INSERT INTO RECOVER_YOUR_DATA (text) VALUES ('All your data was backed up by us. You must pay 0.0134 bitcoin to bc1q7jps5432akuflg9flw2vu6hgmmj5hrrdu6c5gm or in 48 hours, your data will be publicly disclosed and deleted. ')"
"Aug 16, 2026 11:42:47 PM",corp-na01-bp123na,Query, CREATE TABLE IF NOT EXISTS RECOVER_YOUR_DATA (text VARCHAR(255)),2026-08-17T05:42:46.921491Z   165 Query CREATE TABLE IF NOT EXISTS RECOVER_YOUR_DATA (text VARCHAR(255))
"Aug 16, 2026 11:42:47 PM",corp-na01-bp123na,Query, SET AUTOCOMMIT=0,2026-08-17T05:42:47.404280Z   168 Query SET AUTOCOMMIT=0
"Aug 16, 2026 11:42:46 PM",corp-na01-bp123na,Query, SHOW TABLES,2026-08-17T05:42:46.619543Z   165 Query SHOW TABLES
"Aug 16, 2026 11:42:46 PM",corp-na01-bp123na,Query, USE `recover_your_data`,2026-08-17T05:42:46.528182Z   165 Query USE `recover_your_data`
"Aug 16, 2026 11:42:46 PM",corp-na01-bp123na,Query, SELECT * FROM recover_your_data LIMIT 10,2026-08-17T05:42:46.407188Z   167 Query SELECT * FROM recover_your_data LIMIT 10
"Aug 16, 2026 11:42:46 PM",corp-na01-bp123na,Query," SELECT TABLE_NAME, COLUMN_NAME, CONSTRAINT_NAME, REFERENCED_TABLE_NAME, REFERENCED_COLUMN_NAME FROM information_schema.KEY_COLUMN_USAGE WHERE TABLE_SCHEMA = 'recover_your_data' AND TABLE_NAME = 'recover_your_data' AND REFERENCED_TABLE_NAME IS NOT NULL","2026-08-17T05:42:46.712154Z   165 Query SELECT TABLE_NAME, COLUMN_NAME, CONSTRAINT_NAME, REFERENCED_TABLE_NAME, REFERENCED_COLUMN_NAME FROM information_schema.KEY_COLUMN_USAGE WHERE TABLE_SCHEMA = 'recover_your_data' AND TABLE_NAME = 'recover_your_data' AND REFERENCED_TABLE_NAME IS NOT NULL"
"Aug 16, 2026 11:42:45 PM",corp-na01-bp123na,Query," SELECT engine, table_type FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'recover_your_data'","2026-08-17T05:42:45.339361Z   166 Query SELECT engine, table_type FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'recover_your_data'"
"Aug 16, 2026 11:42:45 PM",corp-na01-bp123na,Query, SET SQL_QUOTE_SHOW_CREATE=1,2026-08-17T05:42:45.523506Z   166 Query SET SQL_QUOTE_SHOW_CREATE=1
"Aug 16, 2026 11:42:45 PM",corp-na01-bp123na,Query, set optimizer_switch=default,2026-08-17T05:42:44.971432Z   166 Query set optimizer_switch=default
"Aug 16, 2026 11:42:45 PM",corp-na01-bp123na,Query," SELECT DISTINCT TABLESPACE_NAME, FILE_NAME, LOGFILE_GROUP_NAME, EXTENT_SIZE, INITIAL_SIZE, ENGINE FROM INFORMATION_SCHEMA.FILES WHERE FILE_TYPE = 'DATAFILE' AND TABLESPACE_NAME IN (SELECT DISTINCT TABLESPACE_NAME FROM INFORMATION_SCHEMA.PARTITIONS WHERE TABLE_SCHEMA='recover_your_data' AND TABLE_NAME IN ('recover_your_data')) ORDER BY TABLESPACE_NAME, LOGFILE_GROUP_NAME","2026-08-17T05:42:44.879223Z   166 Query SELECT DISTINCT TABLESPACE_NAME, FILE_NAME, LOGFILE_GROUP_NAME, EXTENT_SIZE, INITIAL_SIZE, ENGINE FROM INFORMATION_SCHEMA.FILES WHERE FILE_TYPE = 'DATAFILE' AND TABLESPACE_NAME IN (SELECT DISTINCT TABLESPACE_NAME FROM INFORMATION_SCHEMA.PARTITIONS WHERE TABLE_SCHEMA='recover_your_data' AND TABLE_NAME IN ('recover_your_data')) ORDER BY TABLESPACE_NAME, LOGFILE_GROUP_NAME"
"Aug 16, 2026 11:42:45 PM",corp-na01-bp123na,Query, SELECT table_name FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'recover_your_data',2026-08-17T05:42:45.247274Z   166 Query SELECT table_name FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'recover_your_data'
"Aug 16, 2026 11:42:45 PM",corp-na01-bp123na,Query," SELECT engine, table_type FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'recover_your_data'","2026-08-17T05:42:45.431278Z   166 Query SELECT engine, table_type FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'recover_your_data'"
"Aug 16, 2026 11:42:45 PM",corp-na01-bp123na,Query," select column_name, extra, generation_expression, data_type from information_schema.columns where table_schema=database() and table_name='recover_your_data' order by ordinal_position","2026-08-17T05:42:45.614833Z   166 Query select column_name, extra, generation_expression, data_type from information_schema.columns where table_schema=database() and table_name='recover_your_data' order by ordinal_position"
"Aug 16, 2026 11:42:45 PM",corp-na01-bp123na,Query, SHOW VARIABLES LIKE 'lower_case_table_names',2026-08-17T05:42:45.153786Z   166 Query SHOW VARIABLES LIKE 'lower_case_table_names'
"Aug 16, 2026 11:42:45 PM",corp-na01-bp123na,Query, SELECT /*!40001 SQL_NO_CACHE */ `text` FROM `recover_your_data` WHERE 1 LIMIT 10,2026-08-17T05:42:45.708862Z   166 Query SELECT /*!40001 SQL_NO_CACHE */ `text` FROM `recover_your_data` WHERE 1 LIMIT 10
"Aug 16, 2026 11:42:44 PM",corp-na01-bp123na,Query, /*M!100100 SET @@MAX_STATEMENT_TIME=0.000000 */,2026-08-17T05:42:44.506174Z   166 Query /*M!100100 SET @@MAX_STATEMENT_TIME=0.000000 */
"Aug 16, 2026 11:42:44 PM",corp-na01-bp123na,Query, /*!40100 SET @@SQL_MODE='' */,2026-08-17T05:42:44.414476Z   166 Query /*!40100 SET @@SQL_MODE='' */
